Driver,Stint,Compound,MeanLapTime,StdLapTime,ValidLaps,StintStart,StintEnd
ALB,1.0,MEDIUM,94.59192307692307,3.4041042160671546,26,1.0,26.0
ALB,2.0,INTERMEDIATE,103.26271428571428,1.7619036782493418,7,29.0,37.0
ALB,3.0,MEDIUM,90.24661538461538,0.37058749269718766,13,40.0,52.0
ALO,1.0,MEDIUM,94.48703846153846,3.745173859577353,26,1.0,26.0
ALO,2.0,INTERMEDIATE,103.14255555555556,1.1662106489728927,9,29.0,37.0
ALO,3.0,MEDIUM,90.37169230769231,0.5401517355668715,13,40.0,52.0
BOT,1.0,MEDIUM,95.4448,3.1668179744553315,25,1.0,25.0
BOT,2.0,INTERMEDIATE,104.24888888888889,1.1760063184826488,9,28.0,36.0
BOT,3.0,SOFT,92.53884615384617,1.5309536160050596,13,39.0,51.0
HAM,1.0,MEDIUM,92.8686,2.6151304460772122,25,1.0,26.0
HAM,2.0,INTERMEDIATE,101.55533333333334,1.0947039554144322,9,29.0,37.0
HAM,3.0,SOFT,89.76746153846155,0.2627132833161803,13,40.0,52.0
HUL,1.0,MEDIUM,94.04492,3.1175935286691874,25,1.0,25.0
HUL,2.0,INTERMEDIATE,102.6638181818182,1.6531818301797165,11,28.0,38.0
HUL,3.0,SOFT,90.406,0.3868231919342251,12,41.0,52.0
LEC,1.0,MEDIUM,93.29288888888888,1.8898772101067978,18,1.0,18.0
LEC,2.0,INTERMEDIATE,105.74940000000001,2.434999650923996,5,21.0,26.0
LEC,3.0,INTERMEDIATE,102.621625,1.3121084381907715,8,29.0,36.0
LEC,4.0,SOFT,90.41946153846153,0.6333431949299646,13,39.0,51.0
MAG,1.0,MEDIUM,94.68884615384614,3.6058552238525268,26,1.0,26.0
MAG,2.0,INTERMEDIATE,104.336,1.4060426736056035,8,29.0,36.0
MAG,3.0,SOFT,91.28721428571428,0.7874212222938171,14,39.0,52.0
NOR,1.0,MEDIUM,92.9942,2.90900438294617,25,1.0,26.0
NOR,2.0,INTERMEDIATE,101.32570000000001,1.6348571157409728,10,29.0,38.0
NOR,3.0,SOFT,90.12358333333333,0.5179061793472471,12,41.0,52.0
OCO,1.0,SOFT,95.19844444444445,2.5532670241735493,18,1.0,18.0
OCO,4.0,INTERMEDIATE,103.33520000000001,1.4982579365531339,10,28.0,37.0
OCO,5.0,MEDIUM,91.92509090909091,1.5964172045267786,11,40.0,50.0
PER,1.0,HARD,93.04988235294117,0.9276932333989,17,2.0,18.0
PER,2.0,INTERMEDIATE,107.06814285714286,3.5626513267776425,7,21.0,27.0
PER,3.0,INTERMEDIATE,103.11385714285714,1.7537571504792646,7,30.0,36.0
PER,4.0,MEDIUM,91.0775,1.189847889437972,8,39.0,46.0
PIA,1.0,MEDIUM,93.81151851851853,4.200134479260705,27,1.0,27.0
PIA,2.0,INTERMEDIATE,102.316625,1.5090957498259798,8,30.0,37.0
PIA,3.0,MEDIUM,89.39384615384614,0.3717796942083348,13,40.0,52.0
RIC,1.0,MEDIUM,94.90879999999999,3.163055089624583,25,1.0,25.0
RIC,2.0,INTERMEDIATE,104.216125,1.1051705023595764,8,28.0,36.0
RIC,3.0,SOFT,91.95661538461538,1.3899524295493897,13,39.0,51.0
RUS,1.0,MEDIUM,92.90544,2.540039354682005,25,1.0,26.0
SAI,1.0,MEDIUM,93.34387999999998,2.2119385788639505,25,1.0,25.0
SAI,2.0,INTERMEDIATE,102.2624,1.6175859379540416,10,29.0,38.0
SAI,3.0,HARD,89.7268888888889,0.3260802985632616,9,41.0,49.0
SAR,1.0,MEDIUM,94.77832000000001,3.4725167952557556,25,1.0,26.0
SAR,2.0,INTERMEDIATE,104.12633333333332,1.6037566835402444,9,29.0,37.0
SAR,3.0,SOFT,90.95607692307694,0.6367725210699227,13,40.0,52.0
STR,1.0,MEDIUM,94.17147999999999,3.302057718554697,25,1.0,25.0
STR,2.0,INTERMEDIATE,102.95527272727273,1.621439242827742,11,28.0,38.0
STR,3.0,MEDIUM,90.05391666666667,0.10371767477438963,12,41.0,52.0
TSU,1.0,MEDIUM,94.5501923076923,3.321403872090597,26,1.0,26.0
TSU,2.0,INTERMEDIATE,103.67055555555555,1.2866537132335878,9,29.0,37.0
TSU,3.0,SOFT,91.24161538461539,0.6141302167105294,13,40.0,52.0
VER,1.0,MEDIUM,93.33124,2.608244864527358,25,1.0,25.0
VER,2.0,INTERMEDIATE,101.8279,1.1705347733218159,10,28.0,37.0
VER,3.0,HARD,89.38692307692307,0.28727613357722304,13,40.0,52.0
ZHO,1.0,SOFT,95.14145454545455,2.585042799012667,11,1.0,11.0
ZHO,2.0,MEDIUM,95.57480000000001,3.255601895195421,5,14.0,18.0
ZHO,3.0,INTERMEDIATE,108.4002,2.3037240937230345,5,21.0,25.0
ZHO,4.0,INTERMEDIATE,103.90833333333333,1.9963297573296885,9,28.0,36.0
ZHO,5.0,SOFT,91.70100000000001,0.7003744453050555,12,39.0,50.0
