Driver,Stint,Compound,SlopePerLap,Intercept,NumLaps
ALB,1.0,MEDIUM,0.11773811965811962,93.00245846153845,26
ALB,2.0,INTERMEDIATE,-0.111848684210527,103.85391447368421,7
ALB,3.0,MEDIUM,-0.08593956043956046,90.93413186813189,13
ALO,1.0,MEDIUM,0.14043863247863236,92.59111692307692,26
ALO,2.0,INTERMEDIATE,-0.09828333333333321,103.73225555555555,9
ALO,3.0,MEDIUM,0.03267582417582458,90.11028571428572,13
BOT,1.0,MEDIUM,0.07141307692307682,94.51643,25
BOT,2.0,INTERMEDIATE,0.21070000000000022,102.98468888888888,9
BOT,3.0,SOFT,-0.22406593406593414,94.33137362637363,13
HAM,1.0,MEDIUM,0.12175606551878358,91.25167944991054,25
HAM,2.0,INTERMEDIATE,0.05471666666666719,101.22703333333334,9
HAM,3.0,SOFT,-0.017368131868132033,89.92377472527473,13
HUL,1.0,MEDIUM,0.07156538461538468,93.11457,25
HUL,2.0,INTERMEDIATE,-0.1889727272727282,103.9866272727273,11
HUL,3.0,SOFT,0.007580419580419662,90.3264055944056,12
LEC,1.0,MEDIUM,-0.03158926728586169,93.59298692810458,18
LEC,2.0,INTERMEDIATE,0.815360465116279,102.16181395348836,5
LEC,3.0,INTERMEDIATE,-0.13825000000000107,103.382,8
LEC,4.0,SOFT,0.028021978021978453,90.1952857142857,13
MAG,1.0,MEDIUM,0.08238427350427362,93.57665846153844,26
MAG,2.0,INTERMEDIATE,0.34416666666666773,102.44308333333333,8
MAG,3.0,SOFT,-0.02606373626373641,91.50875604395604,14
NOR,1.0,MEDIUM,0.09143976990751206,91.78353744642455,25
NOR,2.0,INTERMEDIATE,-0.1161030303030306,102.08036969696971,10
NOR,3.0,SOFT,0.12334615384615363,88.95179487179487,12
OCO,1.0,SOFT,0.07443962848297211,94.49126797385621,18
OCO,4.0,INTERMEDIATE,0.00018181818181890925,103.3340181818182,10
OCO,5.0,MEDIUM,0.11675454545454592,91.10780909090907,11
PER,1.0,HARD,0.11545098039215686,91.8953725490196,17
PER,2.0,INTERMEDIATE,1.226285714285713,100.93671428571429,7
PER,3.0,INTERMEDIATE,0.2927857142857145,101.64992857142857,7
PER,4.0,MEDIUM,-0.3833095238095235,93.18570238095236,8
PIA,1.0,MEDIUM,0.2131782661782662,90.82702279202277,27
PIA,2.0,INTERMEDIATE,-0.036416666666667125,102.51691666666667,8
PIA,3.0,MEDIUM,-0.01597802197802191,89.52167032967031,13
RIC,1.0,MEDIUM,0.10365538461538447,93.56127999999998,25
RIC,2.0,INTERMEDIATE,0.2030552016985137,102.97241188959661,8
RIC,3.0,SOFT,0.1378516483516482,90.85380219780221,13
RUS,1.0,MEDIUM,0.14031957177996424,91.04199608676207,25
SAI,1.0,MEDIUM,0.05580615384615383,92.61839999999998,25
SAI,2.0,INTERMEDIATE,-0.3251757575757572,104.70121818181819,10
SAI,3.0,HARD,-0.10506666666666671,90.35728888888887,9
SAR,1.0,MEDIUM,0.1330850274725274,92.99498063186815,25
SAR,2.0,INTERMEDIATE,0.11426666666666586,103.44073333333334,9
SAR,3.0,SOFT,0.10728021978021975,90.09783516483517,13
STR,1.0,MEDIUM,0.10591076923076902,92.79463999999999,25
STR,2.0,INTERMEDIATE,-0.19903636363636354,104.34852727272727,11
STR,3.0,MEDIUM,-0.0087867132867137,90.11981701631701,12
TSU,1.0,MEDIUM,0.12459384615384612,92.86817538461538,26
TSU,2.0,INTERMEDIATE,-0.13343333333333335,104.47115555555555,9
TSU,3.0,SOFT,0.05294505494505493,90.81805494505494,13
VER,1.0,MEDIUM,0.12127384615384604,91.75468,25
VER,2.0,INTERMEDIATE,-0.0715090909090913,102.2927090909091,10
VER,3.0,HARD,-0.03599999999999988,89.67492307692306,13
ZHO,1.0,SOFT,-0.12806363636363602,95.90983636363637,11
ZHO,2.0,MEDIUM,2.0000999999999993,87.5744,5
ZHO,3.0,INTERMEDIATE,0.5989000000000009,106.0046,5
ZHO,4.0,INTERMEDIATE,0.2726333333333336,102.27253333333333,9
ZHO,5.0,SOFT,-0.04033566433566407,92.04385314685315,12
