Driver,Stint,Compound,BestModelType,R2Score,MAE,NumLaps,NumCleanLaps,MeanLapTime,StdLapTime,LinearSlope,LinearIntercept,TyreLifeRange,OutliersRemoved
ALB,1.0,MEDIUM,polynomial,0.2872273270025809,0.6163054252221013,26,23,94.59192307692307,3.337998812313437,0.0746488104493857,92.46278751360599,"[np.float64(1.0), np.float64(26.0)]",3
ALB,2.0,INTERMEDIATE,polynomial,0.91087288387714,0.4011813825623826,7,7,103.26271428571428,1.6312058391864332,-0.111848684210527,103.85391447368421,"[np.float64(2.0), np.float64(10.0)]",0
ALB,3.0,MEDIUM,polynomial,0.8167032816662533,0.0989124721432393,13,13,90.2466153846154,0.3560489461731427,-0.08593956043956046,90.93413186813189,"[np.float64(2.0), np.float64(14.0)]",0
ALO,1.0,MEDIUM,polynomial,0.2584681456502409,0.7420957530347811,26,23,94.48703846153846,3.6724451138043332,0.0796767610013995,92.21737338672057,"[np.float64(1.0), np.float64(26.0)]",3
ALO,2.0,INTERMEDIATE,polynomial,0.6679571419671275,0.547909956709955,9,9,103.14255555555556,1.09951394424093,-0.09828333333333321,103.73225555555555,"[np.float64(2.0), np.float64(10.0)]",0
ALO,3.0,MEDIUM,polynomial,0.8791342535910923,0.12778098824252793,13,13,90.37169230769231,0.5189610011456167,0.03267582417582458,90.11028571428572,"[np.float64(2.0), np.float64(14.0)]",0
BOT,1.0,MEDIUM,polynomial,0.452926929345266,0.529691569055118,25,21,95.4448,3.1028352582758885,0.06093108094103007,93.4885199502539,"[np.float64(1.0), np.float64(25.0)]",4
BOT,2.0,INTERMEDIATE,polynomial,0.775937973354214,0.41526955266955196,9,9,104.24888888888889,1.1087493900230763,0.21070000000000022,102.98468888888888,"[np.float64(2.0), np.float64(10.0)]",0
BOT,3.0,SOFT,polynomial,0.4129704340987098,0.39577813852813887,13,12,92.53884615384617,1.470892656552678,-0.07721328671328669,92.81389627039627,"[np.float64(2.0), np.float64(14.0)]",1
HAM,1.0,MEDIUM,polynomial,0.09235875555628115,0.19091330635896572,25,19,92.86859999999999,2.5622940814824524,-0.009082079510703224,91.7437614678899,"[np.float64(1.0), np.float64(26.0)]",6
HAM,2.0,INTERMEDIATE,polynomial,0.8397485202288637,0.36502424242424225,9,9,101.55533333333334,1.032096787020374,0.05471666666666719,101.22703333333334,"[np.float64(2.0), np.float64(10.0)]",0
HAM,3.0,SOFT,polynomial,0.3204445721703334,0.06281636363636807,13,10,89.76746153846153,0.25240675822495856,0.003193939393938453,89.60915757575758,"[np.float64(3.0), np.float64(15.0)]",3
HUL,1.0,MEDIUM,polynomial,0.11532071137283029,0.18887565339116688,25,19,94.04492,3.0546053482569553,0.0049795718654434065,92.59771559633029,"[np.float64(1.0), np.float64(25.0)]",6
HUL,2.0,INTERMEDIATE,polynomial,0.7727641699539377,0.4540145454545453,11,10,102.6638181818182,1.5762470282969225,0.0020242424242415203,103.03164242424243,"[np.float64(2.0), np.float64(12.0)]",1
HUL,3.0,SOFT,polynomial,0.6795835975120463,0.15994422244421833,12,12,90.406,0.37035500986665676,0.007580419580419662,90.3264055944056,"[np.float64(5.0), np.float64(16.0)]",0
LEC,1.0,MEDIUM,polynomial,0.19662074120167417,0.19189912518853874,18,15,93.2928888888889,1.8366305165495274,-0.014871428571428626,92.69237619047618,"[np.float64(1.0), np.float64(18.0)]",3
LEC,2.0,INTERMEDIATE,polynomial,0.8125030511842243,0.8704467532467476,5,5,105.7494,2.1779298978617283,0.815360465116279,102.16181395348836,"[np.float64(2.0), np.float64(7.0)]",0
LEC,3.0,INTERMEDIATE,polynomial,0.903254293399788,0.3590535714285732,8,8,102.621625,1.2273650575012323,-0.13825000000000107,103.382,"[np.float64(2.0), np.float64(9.0)]",0
LEC,4.0,SOFT,polynomial,0.8199799942830975,0.22417736110044253,13,13,90.41946153846153,0.6084964591749098,0.028021978021978453,90.1952857142857,"[np.float64(2.0), np.float64(14.0)]",0
MAG,1.0,MEDIUM,polynomial,0.24227705972200697,0.579475491135001,26,23,94.68884615384614,3.5358319518489516,0.038312470844347954,92.93794332141192,"[np.float64(1.0), np.float64(26.0)]",3
MAG,2.0,INTERMEDIATE,polynomial,0.7331517864480839,0.5684999999999967,8,8,104.33600000000001,1.3152324889539517,0.34416666666666773,102.44308333333333,"[np.float64(2.0), np.float64(9.0)]",0
MAG,3.0,SOFT,polynomial,0.21522007631431594,0.40501990317374986,14,13,91.28721428571428,0.7587780758346588,0.04145054945054943,90.7660989010989,"[np.float64(2.0), np.float64(15.0)]",1
NOR,1.0,MEDIUM,polynomial,0.5940071687755099,0.18576808139225195,25,19,92.9942,2.8502305590951766,-0.040845504587155836,92.15848623853209,"[np.float64(1.0), np.float64(26.0)]",6
NOR,2.0,INTERMEDIATE,polynomial,0.8734338293111286,0.5079369696969763,10,10,101.32570000000001,1.5509616404024964,-0.1161030303030306,102.08036969696971,"[np.float64(2.0), np.float64(11.0)]",0
NOR,3.0,SOFT,polynomial,0.8128077974349212,0.16134873459873353,12,12,90.12358333333333,0.4958574153815678,0.12334615384615363,88.95179487179487,"[np.float64(4.0), np.float64(15.0)]",0
OCO,1.0,SOFT,polynomial,0.6588605639680909,0.35177239388063036,18,15,95.19844444444445,2.4813295321084596,0.14612500000000017,92.904075,"[np.float64(1.0), np.float64(18.0)]",3
OCO,4.0,INTERMEDIATE,polynomial,0.7230972038244339,0.6162803030302996,10,10,103.33520000000001,1.4213722805795823,0.00018181818181890925,103.3340181818182,"[np.float64(2.0), np.float64(11.0)]",0
OCO,5.0,MEDIUM,polynomial,0.08030625882420772,0.6277301457007937,11,10,91.9250909090909,1.5221240813443109,-0.0037612387612382323,91.54970029970029,"[np.float64(2.0), np.float64(12.0)]",1
PER,1.0,HARD,polynomial,0.18850861735180158,0.38611361344537726,17,15,93.04988235294117,0.8999946328175205,0.042371428571428636,92.39432380952381,"[np.float64(2.0), np.float64(18.0)]",2
PER,2.0,INTERMEDIATE,polynomial,0.5713462915878609,1.686176870748304,7,7,107.06814285714286,3.2983742068120856,1.226285714285713,100.93671428571429,"[np.float64(2.0), np.float64(8.0)]",0
PER,3.0,INTERMEDIATE,polynomial,0.9882846054139887,0.1449387755102001,7,7,103.11385714285714,1.6236636200335373,0.2927857142857145,101.64992857142857,"[np.float64(2.0), np.float64(8.0)]",0
PER,4.0,MEDIUM,polynomial,0.35865695499921857,0.13270476190475952,8,6,91.07749999999999,1.1130007861632427,-0.06877142857142846,90.89351428571429,"[np.float64(2.0), np.float64(9.0)]",2
PIA,1.0,MEDIUM,polynomial,0.0633826374358265,0.8685098763558696,27,23,93.8115185185185,4.121620369694337,0.0493946120354532,91.68437579692116,"[np.float64(1.0), np.float64(27.0)]",4
PIA,2.0,INTERMEDIATE,polynomial,0.9430573580699652,0.2742098214285633,8,8,102.316625,1.411629814921388,-0.036416666666667125,102.51691666666667,"[np.float64(2.0), np.float64(9.0)]",0
PIA,3.0,MEDIUM,polynomial,0.37700373913193974,0.1724567739952341,13,13,89.39384615384614,0.3571943763347987,-0.01597802197802191,89.52167032967031,"[np.float64(2.0), np.float64(14.0)]",0
RIC,1.0,MEDIUM,polynomial,0.5298487799989982,0.8050524465112576,25,23,94.90879999999999,3.0991483991574196,0.1546766443787901,92.08289667236822,"[np.float64(1.0), np.float64(25.0)]",2
RIC,2.0,INTERMEDIATE,polynomial,0.465352656990519,0.6479487739571592,8,8,104.216125,1.0337923434495926,0.2030552016985137,102.97241188959661,"[np.float64(2.0), np.float64(10.0)]",0
RIC,3.0,SOFT,polynomial,0.9154287841524591,0.32062061015907134,13,13,91.95661538461539,1.3354230985238373,0.1378516483516482,90.85380219780221,"[np.float64(2.0), np.float64(14.0)]",0
RUS,1.0,MEDIUM,polynomial,0.11275081907081663,0.1783448416514719,25,19,92.90544,2.488720138223662,0.014867094801223158,91.48578440366974,"[np.float64(1.0), np.float64(26.0)]",6
SAI,1.0,MEDIUM,polynomial,0.3126576545474905,0.5206299306552524,25,22,93.34387999999998,2.167248344237458,0.06605279911718515,91.77386146598191,"[np.float64(1.0), np.float64(25.0)]",3
SAI,2.0,INTERMEDIATE,polynomial,0.522010171232141,0.1580714285714322,10,8,102.26240000000001,1.5345767624983757,0.06709523809523842,102.54163095238097,"[np.float64(3.0), np.float64(12.0)]",2
SAI,3.0,HARD,polynomial,0.9429587006102201,0.03539732142857055,9,8,89.72688888888888,0.3074314537672284,-0.06994047619047673,90.0879880952381,"[np.float64(2.0), np.float64(10.0)]",1
SAR,1.0,MEDIUM,polynomial,0.4277478803219511,0.558914605452424,25,22,94.77832000000001,3.402357708648519,0.08749085253550529,92.43950652805631,"[np.float64(1.0), np.float64(26.0)]",3
SAR,2.0,INTERMEDIATE,polynomial,0.8679203641935677,0.47371582491583,9,9,104.12633333333333,1.5120363017394056,0.11426666666666586,103.44073333333334,"[np.float64(2.0), np.float64(10.0)]",0
SAR,3.0,SOFT,polynomial,0.7032130818841766,0.27854606931529813,13,13,90.95607692307694,0.611791249156424,0.10728021978021975,90.09783516483517,"[np.float64(2.0), np.float64(14.0)]",0
STR,1.0,MEDIUM,polynomial,0.3118032733820755,0.7875561005182621,25,23,94.17147999999999,3.2353426046711036,0.10847807494946339,91.93587770175711,"[np.float64(1.0), np.float64(25.0)]",2
STR,2.0,INTERMEDIATE,polynomial,0.8165627975084933,0.3913387878787901,11,10,102.95527272727273,1.5459816587709554,-0.026563636363636334,103.48616363636364,"[np.float64(2.0), np.float64(12.0)]",1
STR,3.0,MEDIUM,polynomial,0.19217764821447159,0.06399117549117388,12,12,90.05391666666667,0.09930211338245531,-0.0087867132867137,90.11981701631701,"[np.float64(2.0), np.float64(13.0)]",0
TSU,1.0,MEDIUM,polynomial,0.30319183438963315,0.6697853949877622,26,23,94.55019230769231,3.2569044531370435,0.08412536930492914,92.33446792878247,"[np.float64(1.0), np.float64(26.0)]",3
TSU,2.0,INTERMEDIATE,polynomial,0.681766688049758,0.6014025012025002,9,9,103.67055555555555,1.2130687542217615,-0.13343333333333335,104.47115555555555,"[np.float64(2.0), np.float64(10.0)]",0
TSU,3.0,SOFT,polynomial,0.30789224344144406,0.3835297010681612,13,13,91.24161538461537,0.5900372267866518,0.05294505494505493,90.81805494505494,"[np.float64(2.0), np.float64(14.0)]",0
VER,1.0,MEDIUM,polynomial,0.19892517905796459,0.44463593617419195,25,20,93.33124,2.5555476169306646,0.0566423571912394,91.551727477986,"[np.float64(1.0), np.float64(25.0)]",5
VER,2.0,INTERMEDIATE,polynomial,0.8017645169485311,0.17636459836459847,10,9,101.8279,1.1104667892377502,0.14824999999999944,101.26716666666667,"[np.float64(2.0), np.float64(11.0)]",1
VER,3.0,HARD,polynomial,0.3827762014270074,0.18524444785983446,13,13,89.38692307692307,0.27600598141190297,-0.03599999999999988,89.67492307692306,"[np.float64(2.0), np.float64(14.0)]",0
ZHO,1.0,SOFT,polynomial,0.6518395476663046,0.5062612121212127,11,10,95.14145454545455,2.464741600457294,0.30188484848484864,92.47024848484848,"[np.float64(1.0), np.float64(11.0)]",1
ZHO,2.0,MEDIUM,polynomial,0.9606756284590886,0.5044800000000009,5,5,95.5748,2.911898858133639,2.0000999999999993,87.5744,"[np.float64(2.0), np.float64(6.0)]",0
ZHO,3.0,INTERMEDIATE,polynomial,0.9519383001591887,0.16389999999999816,5,4,108.4002,2.060513469987518,-0.7222999999999999,112.6106,"[np.float64(2.0), np.float64(6.0)]",1
ZHO,4.0,INTERMEDIATE,polynomial,0.5572804086591078,0.898554882154888,9,9,103.90833333333333,1.882157745189756,0.2726333333333336,102.27253333333333,"[np.float64(2.0), np.float64(10.0)]",0
ZHO,5.0,SOFT,polynomial,0.5801457229561856,0.295444910498516,12,11,91.70100000000001,0.6705574795148698,0.011938345864662041,91.46109473684211,"[np.float64(3.0), np.float64(14.0)]",1
